tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***18342,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,1546 BLOOR ST W,,,ON
***19472,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,5418 YONGE ST,,,ON
***21311,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,OPP,777 QUEEN ST W,,,ON
***25924,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,747 QUEEN ST E,,,ON
***53833,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1637,NR,3042 DUNDAS ST W,,,ON
***74607,20161230,3,PARK ON PRIVATE PROPERTY,30,1638,,40 TURF GRASSWAY,,,ON
***49942,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1638,OPP,19 GRAND TRUNK CRES,,,ON
***65175,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,N/S,EGLINTON AVE W,E/O,OAKWOOD AVE,ON
***93985,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1638,NR,85 ROBINSON ST,,,ON
***18343,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,1588 BLOOR ST W,,,ON
***37303,20161230,3,PARK ON PRIVATE PROPERTY,30,1638,NR,1591 WESTON RD,,,ON
***48138,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,90 EASTDALE AVE,,,ON
***53164,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,1574 QUEEN ST W,,,ON
***57897,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,306 DUPONT ST,,,ON
***60902,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,559 MOUNT PLEASANT RD,,,ON
***60903,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,565 MOUNT PLEASANT RD,,,ON
***71710,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1638,NR,924 BLOOR ST W,,,ON
***21431,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1639,NR,55 REDPATH AVE,,,ON
***84864,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1639,NR,2425 YONGE ST,,,ON
***93986,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1639,NR,85 ROBINSON ST,,,OH
***18344,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1639,NR,1622 BLOOR ST W,,,ON
***53834,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1639,NR,3092 DUNDAS ST W,,,ON
***71711,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1639,NR,924 BLOOR ST W,,,ON
***77594,20161230,419,STAND NON-TAXI IN SIGNED STAND,60,1639,NR,2056 DANFORTH AVE,,,ON
***21432,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1640,NR,55 REDPATH AVE,,,ON
***49943,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1640,NR,30 GRAND TRUNK CRES,,,ON
***37304,20161230,3,PARK ON PRIVATE PROPERTY,30,1640,NR,1591 WESTON RD,,,ON
***47933,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1640,NR,318 KING ST E,,,ON
***57898,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1640,NR,302 DUPONT ST,,,ON
***57899,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1640,NR,302 DUPONT ST,,,ON
***60904,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1640,NR,595 MOUNT PLEASANT RD,,,ON
***76039,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1640,NR,1949 DANFORTH AVE,,,ON
***34358,20161230,404,STOP-9 M PEDESTRIAN X BEYOND,60,1641,OPP,101 MC CAUL ST,,,ON
***71712,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1641,NR,936 BLOOR ST W,,,ON
***21433,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1642,NR,55 REDPATH AVE,,,QC
***21434,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1642,NR,55 REDPATH AVE,,,ON
***71713,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1642,NR,940 BLOOR ST W,,,ON
***11258,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1642,NR,1172 BLOOR ST W,,,ON
***16904,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1643,OPP,65 LA PLANTE AVE,,,ON
***27979,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1643,NR,494 EGLINTON AVE W,,,ON
***25359,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1644,NR,23 GOUGH AVE,,,ON
***25360,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1644,NR,23 GOUGH AVE,,,ON
***65176,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1644,NR,1962 EGLINTON AVE W,,,ON
***65177,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1644,NR,1976 EGLINTON AVE W,,,ON
***21312,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1644,OPP,1001 QUEEN ST W,,,ON
***27980,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1644,NR,502 EGLINTON AVE W,,,ON
***76751,20161230,3,PARK ON PRIVATE PROPERTY,30,1645,,3401 DUFFERIN ST,,,ON
***21435,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1645,NR,8 CUTHBERT CRES,,,ON
***95473,20161230,415,PARK COMMERC LOAD ZONE NOT LDG,40,1645,NR,60 ST PATRICK ST,,,MI
***19728,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1645,NR,903 PAPE AVE,,,ON
***21313,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1645,OPP,1001 QUEEN ST W,,,ON
***38136,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1645,NR,21 BYRON AVE,,,ON
***57608,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1645,NR,1666 ST CLAIR AVE W,,,ON
***11259,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1645,NR,1268 BLOOR ST W,,,ON
***21436,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1646,NR,11 CUTHBERT CRES,,,ON
***49944,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1646,NR,68 BREMNER BLVD,,,ON
***49945,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1646,NR,68 BREMNER BLVD,,,ON
***65178,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1646,NR,2016 EGLINTON AVE W,,,ON
***21314,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1646,OPP,1001 QUEEN ST W,,,TN
***26226,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1646,NR,844 DUNDAS ST W,,,ON
***21437,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1647,NR,11 CUTHBERT CRES,,,ON
***21438,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1647,NR,11 CUTHBERT CRES,,,ON
***26227,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1647,NR,848 DUNDAS ST W,,,ON
***27981,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1647,NR,535 RUSSELL HILL RD,,,ON
***49946,20161230,8,STAND VEH.-PROHIBIT TIME/DAY,60,1648,OPP,68 BREMNER BLVD,,,ON
***95474,20161230,406,PARK-VEH. W/O VALID ONT PLATE,40,1648,NR,34 ST PATRICK ST,,,ON
***18345,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1648,NR,1830 BLOOR ST W,,,QC
***18346,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1648,NR,1830 BLOOR ST W,,,ON
***19729,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1648,NR,941 PAPE AVE,,,ON
***21315,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1648,OPP,1181 QUEEN ST W,,,ON
***27982,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1648,NR,535 RUSSELL HILL RD,,,ON
***27983,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1648,NR,535 RUSSELL HILL RD,,,ON
***57609,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1648,NR,1754 ST CLAIR AVE W,,,ON
***21439,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1649,NR,5 GLEBE RD E,,,ON
***16905,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1649,NR,201 ELIZABETH ST,,,ON
***84865,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1649,NR,1056 MOUNT PLEASANT RD,,,ON
***19730,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1649,NR,941 PAPE AVE,,,ON
***34241,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1649,NR,1470 ST CLAIR AVE W,,,ON
***38137,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1649,NR,178 CHATHAM AVE,,,ON
***47934,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1649,NR,54 CHURCH ST,,,QC
***68968,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1649,NR,14 CARLTON ST,,,ON
***84866,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1650,NR,1056 MOUNT PLEASANT RD,,,ON
***93987,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1650,NR,570 WELLINGTON ST W,,,ON
***38138,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1651,NR,70 CHATHAM AVE,,,ON
***68969,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1651,NR,14 CARLTON ST,,,ON
***76040,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1651,NR,1775 GERRARD ST E,,,ON
***77595,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1651,W/S,AMROTH AVE,S/O,DANFORTH AVE,ON
***21440,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1652,NR,27 BELSIZE DR,,,ON
***65179,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1652,NR,2 MIRANDA AVE,,,QC
***38139,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1652,NR,60 CHATHAM AVE,,,ON
***65180,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1653,NR,3 MIRANDA AVE,,,ON
***71714,20161230,406,PARK-VEH. W/O VALID ONT PLATE,40,1653,NR,940 BLOOR ST W,,,ON
***77596,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1653,NR,2137 DANFORTH AVE,,,ON
***11260,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1653,NR,2750 DUNDAS ST W,,,ON
***74608,20161230,3,PARK ON PRIVATE PROPERTY,30,1654,,8 DUNE GRASSWAY,,,ON
***21441,20161230,8,STAND VEH.-PROHIBIT TIME/DAY,60,1654,S/S,BELSIZE DR,E/O,YONGE ST,ON
***27984,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1654,NR,57 MAXWELL AVE,,,ON
***48139,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1654,NR,24 OAK PARK AVE,,,ON
***11261,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1654,NR,2766 DUNDAS ST W,,,ON
***84867,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1655,NR,719 MOUNT PLEASANT RD,,,ON
***27985,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1655,NR,45 MAXWELL AVE,,,ON
***48140,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1655,NR,31 OAK PARK AVE,,,ON
***74609,20161230,3,PARK ON PRIVATE PROPERTY,30,1656,,8 DUNE GRASSWAY,,,ON
***21442,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1656,NR,44 BALLIOL ST,,,ON
***27986,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1656,NR,29 MAXWELL AVE,,,ON
***34242,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1656,NR,170 CALEDONIA RD,,,ON
***57900,20161230,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,1656,NR,692 SHAW ST,,,ON
***77597,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1656,NR,2183 DANFORTH AVE,,,ON
***74610,20161230,3,PARK ON PRIVATE PROPERTY,30,1657,,8 DUNE GRASSWAY,,,ON
***21443,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1657,NR,44 BALLIOL ST,,,ON
***49947,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1657,NR,9 TEMPERANCE ST,,,ON
***84868,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1657,OPP,756 MOUNT PLEASANT RD,,,ON
***53165,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1657,NR,1222 KING ST W,,,ON
***60905,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1657,NR,1597 BAYVIEW AVE,,,ON
***76752,20161230,3,PARK ON PRIVATE PROPERTY,30,1658,,3401 DUFFERIN ST,,,ON
***21444,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1658,OPP,71 BALLIOL ST,,,ON
***49948,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1659,OPP,9 TEMPERANCE ST,,,ON
***19731,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1659,NR,899 PAPE AVE,,,ON
***25925,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1659,NR,955 QUEEN ST E,,,ON
***26228,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1659,NR,141 DUNDAS ST W,,,ON
***27987,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1659,NR,33 HILLSDALE AVE W,,,ON
***27988,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1659,NR,33 HILLSDALE AVE W,,,ON
***38140,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1659,NR,33a BADGEROW AVE,,,ON
***57901,20161230,406,PARK-VEH. W/O VALID ONT PLATE,40,1659,NR,692 SHAW ST,,,ON
***74611,20161230,3,PARK ON PRIVATE PROPERTY,30,1700,,2 DUNE GRASSWAY,,,ON
***21445,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1700,OPP,115 BALLIOL ST,,,ON
***49949,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1700,OPP,9 TEMPERANCE ST,,,ON
***16906,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1700,NR,124 EDWARD ST,,,ON
***93988,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1700,NR,165 GRANGE AVE,,,ON
***68970,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1700,OPP,64 MCGILL ST,,,ON
***21446,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1701,OPP,155 BALLIOL ST,,,ON
***76041,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1701,NR,1383 QUEEN ST E,,,ON
***85005,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1701,NR,1091 KINGSTON RD,,,ON
***74612,20161230,3,PARK ON PRIVATE PROPERTY,30,1702,,2 DUNE GRASSWAY,,,ON
***21447,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1702,NR,190 BALLIOL ST,,,ON
***19473,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1702,NR,5177 YONGE ST,,,ON
***34359,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1702,NR,260 QUEEN ST W,,,MI
***11262,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1702,NR,2766 DUNDAS ST W,,,ON
***18936,20161230,347,PARK IN A FIRE ROUTE,250,1703,,1580 SANDHURST CRCL,,,ON
***84869,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1703,NR,182 ST CLAIR AVE E,,,ON
***93989,20161230,8,STAND VEH.-PROHIBIT TIME/DAY,60,1703,NR,3 LEONARD AVE,,,ON
***53835,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1703,NR,2996 DUNDAS ST W,,,ON
***57902,20161230,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,1703,NR,670 SHAW ST,,,ON
***76042,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1703,NR,1501 QUEEN ST E,,,ON
***21448,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1704,NR,218 BALLIOL ST,,,ON
***49950,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1704,NR,56 TEMPERANCE ST,,,ON
***49951,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1704,NR,56 TEMPERANCE ST,,,ON
***16907,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1704,NR,123 EDWARD ST,,,ON
***65181,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1704,NR,12 ROSTREVOR RD,,,ON
***84870,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1704,NR,182 ST CLAIR AVE E,,,ON
***17039,20161230,347,PARK IN A FIRE ROUTE,250,1705,,1700 WILSON AVE,,,ON
***76753,20161230,3,PARK ON PRIVATE PROPERTY,30,1705,,3401 DUFFERIN ST,,,ON
***83988,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1705,NEAR,125 VILLAGE GREEN SQ,,,ON
***83990,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1705,NEAR,125 VILLAGE GREEN CQ,,,ON
***21449,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1705,NR,300 BALLIOL ST,,,ON
***93990,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1705,NR,25 LEONARD AVE,,,ON
***25926,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1705,NR,1095 QUEEN ST E,,,ON
***38141,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1705,NR,131 BOSTON AVE,,,ON
***53166,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1705,NR,1078 QUEEN ST W,,,TN
***49952,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1706,NR,56 TEMPERANCE ST,,,ON
***25927,20161230,406,PARK-VEH. W/O VALID ONT PLATE,40,1706,NR,1095 QUEEN ST E,,,ON
***27989,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1706,NR,23 WALKER AVE,,,ON
***49953,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1707,NR,70 TEMPERANCE ST,,,ON
***16908,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1707,NR,55 CENTRE AVE,,,ON
***95475,20161230,367,STND ONSTRT ACCESSIBLE NO PRMT,450,1707,NR,106 BEVERLEY ST,,,ON
***27990,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1707,NR,31 WALKER AVE,,,ON
***38142,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1707,NR,67 BOSTON AVE,,,ON
***49954,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1708,NR,70 TEMPERANCE ST,,,ON
***84871,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1708,NR,60 ST CLAIR AVE E,,,ON
***68971,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1708,NR,27 GRANBY ST,,,ON
***71715,20161230,406,PARK-VEH. W/O VALID ONT PLATE,40,1708,NR,912 BLOOR ST W,,,ON
***49955,20161230,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,1709,NR,70 TEMPERANCE ST,,,ON
***16909,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1709,NR,58 CENTRE AVE,,,ON
***94531,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1709,NR,51 WINCHESTER ST,,,ON
***21316,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1709,OPP,775 QUEEN ST W,,,ON
***38143,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1709,NR,53 BOSTON AVE,,,ON
***57903,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1709,NR,345 HARBORD ST,,,ON
***16910,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1710,NR,56 CENTRE AVE,,,ON
***19732,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1710,NR,137 SIMPSON AVE,,,ON
***38144,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1710,NR,47 BOSTON AVE,,,ON
***47935,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1710,NR,101 MCGILL ST,,,ON
***61543,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1710,NR,400 QUEEN ST W,,,ON
***21450,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1711,NR,348 MILLWOOD RD,,,ON
***49956,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1711,NR,45 SHEPPARD ST,,,AB
***61544,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1711,NR,402 QUEEN ST W,,,ON
***21451,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1712,NR,27 BELLE AYRE BLVD,,,ON
***16911,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1712,NR,11 CENTRE AVE,,,ON
***25361,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1712,NR,201 CARLAW AVE,,,ON
***84872,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1712,NR,30 ST CLAIR AVE W,,,ON
***95476,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1712,NR,42 BEVERLEY ST,,,ON
***21317,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1712,NR,720 QUEEN ST W,,,ON
***68972,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1712,E/S,YONGE ST,S/O,GERRARD ST E,ON
***49957,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1713,NR,45 SHEPPARD ST,,,ON
***30955,20161230,3,PARK ON PRIVATE PROPERTY,30,1713,AT,175 WYNFORD DR,,,ON
***76754,20161230,3,PARK ON PRIVATE PROPERTY,30,1714,,3401 DUFFERIN ST,,,ON
***21452,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1714,NR,9 BELLE AYRE BLVD,,,ON
***49958,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1714,NR,45 SHEPPARD ST,,,ON
***25362,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1714,OPP,875 QUEEN ST E,,,QC
***30956,20161230,3,PARK ON PRIVATE PROPERTY,30,1714,AT,175 WYNFORD DR,,,ON
***30957,20161230,3,PARK ON PRIVATE PROPERTY,30,1714,AT,175 WYNFORD DR,,,ON
***21318,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1714,NR,745 QUEEN ST W,,,ON
***53167,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1714,NR,1556 QUEEN ST W,,,ON
***61545,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1714,NR,556 QUEEN ST W,,,ON
***77598,20161230,48,FAIL TO PARK/STOP PARALL. CURB,30,1714,W/S,LITTLEYORK RD,N/O,NORWOOD TER,ON
***30958,20161230,3,PARK ON PRIVATE PROPERTY,30,1715,AT,175 WYNFORD DR,,,QC
***21319,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1715,NR,745 QUEEN ST W,,,ON
***38145,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1715,NR,88 COLGATE AVE,,,ON
***38146,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1715,NR,88 COLGATE AVE,,,ON
***61546,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1715,NR,556 QUEEN ST W,,,ON
***50950,20161230,3,PARK ON PRIVATE PROPERTY,30,1716,,7 CAPRI RD,,,ON
***47936,20161230,29,PARK PROHIBITED TIME NO PERMIT,30,1716,NR,3 PEMBROKE ST,,,QC
***57904,20161230,3,PARK ON PRIVATE PROPERTY,30,1716,AT,769 BATHURST ST,,,ON
***61547,20161230,406,PARK-VEH. W/O VALID ONT PLATE,40,1716,NR,552 QUEEN ST W,,,ON
***72161,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1716,NR,24 BELLAIR ST,,,ON
***76755,20161230,3,PARK ON PRIVATE PROPERTY,30,1717,,3401 DUFFERIN ST,,,ON
***93991,20161230,336,PARK-FAIL TO DISPLAY PERMIT,30,1717,NR,16 DENISON SQ,,,ON
***19474,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1717,NR,4899 YONGE ST,,,ON
***34360,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1717,NR,423 QUEEN ST W,,,ON
***72162,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1717,NR,130 CUMBERLAND ST,,,ON
***11263,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1717,NR,2427 ST CLAIR AVE W,,,ON
***21453,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1718,NR,12 ACACIA AVE,,,ON
***16912,20161230,207,PARK MACHINE-REQD FEE NOT PAID,30,1718,NR,2 CENTRE AVE,,,ON
***30959,20161230,3,PARK ON PRIVATE PROPERTY,30,1718,AT,175 WYNFORD DR,,,ON
***21320,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1718,NR,45 OSSINGTON AVE,,,ON
***34361,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1718,NR,425 QUEEN ST W,,,ON
***53168,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1718,NR,1434 KING ST W,,,ON
***21454,20161230,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1719,NR,20 ACACIA AVE,,,ON
***49959,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1719,NR,30 SHEPPARD ST,,,ON
***49960,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1719,NR,30 SHEPPARD ST,,,ON
***30960,20161230,3,PARK ON PRIVATE PROPERTY,30,1719,AT,175 WYNFORD DR,,,ON
***65182,20161230,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1719,NR,111 RAGLAN AVE,,,ON
***34362,20161230,403,STOP-SIGNED HIGHWAY-RUSH HOUR,150,1719,NR,433 QUEEN ST W,,,ON
***43193,20161230,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,1719,NR,52 STONEHILL CRT,,,ON
***49961,20161230,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,1720,NR,30 SHEPPARD ST,,,ON
