tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***79386,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0714,NR,27 SAGRES CRES,,,ON
***29649,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0714,NR,17 MC GEE ST,,,ON
***49797,20161231,3,PARK ON PRIVATE PROPERTY,30,0714,AT,75 ST NICHOLAS ST,,,ON
***78437,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0714,NR,49 YARMOUTH GDNS,,,ON
***94540,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0715,NR,23 ORIOLE GDNS,,,ON
***64665,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0715,NR,162 HAMILTON ST,,,ON
***78438,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0717,NR,33 YARMOUTH GDNS,,,ON
***94541,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0718,NR,65 ORIOLE GDNS,,,ON
***64666,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0719,NR,150 HAMILTON ST,,,ON
***78439,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0719,NR,23 YARMOUTH GDNS,,,QC
***06111,20161231,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,0720,NR,353 MORRISH RD,,,ON
***78440,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0720,NR,21 YARMOUTH GDNS,,,ON
***81273,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0721,NR,191 CRAIGHURST AVE,,,ON
***50812,20161231,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0722,OPP,22 SHEPPARD ST,,,ON
***70772,20161231,48,FAIL TO PARK/STOP PARALL. CURB,30,0722,NR,305 WOODMOUNT AVE,,,ON
***85751,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0722,NR,5 LIPPINCOTT ST,,,ON
***70773,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0724,NR,310 WOODMOUNT AVE,,,ON
***50813,20161231,416,STAND VEH.-PSGR LD ZN DAY TIME,60,0725,NR,138 SIMCOE ST,,,ON
***78441,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0725,NR,23 PALMERSTON GDNS,,,ON
***94542,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0727,NR,150 FARNHAM AVE,,,ON
***34670,20161231,192,STAND SIGNED TRANSIT STOP,150,0727,NR,649 PAPE AVE,,,NY
***78442,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0727,NR,42 PALMERSTON GDNS,,,ON
***64667,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0728,NR,46 HAMILTON ST,,,ON
***78443,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0728,NR,46 PALMERSTON GDNS,,,ON
***94543,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0730,NR,140 FARNHAM AVE,,,ON
***78444,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0730,NR,52 PALMERSTON GDNS,,,ON
***57923,20161231,37,PARK HEAVY (TRUCK/VEH.) TM/DY,90,0731,W/S,WINCOTT DR,S/O,DIXON RD,ON
***98445,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0732,OPP,135 BLEECKER ST,,,ON
***78445,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0732,OPP,865 MANNING AVE,,,ON
***07134,20161231,3,PARK ON PRIVATE PROPERTY,30,0732,AT,1070 SHEPPARD AVE W,,,ON
***79077,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0733,S/S,PARKDALE RD,W/O,SUNNYSIDE AVE,ON
***50814,20161231,134,PARK-SIGNED HWY-PUBLIC LANE,40,0733,R/O,144 FRONT ST W,,,ON
***78446,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0733,OPP,865 MANNING AVE,,,ON
***70774,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0734,NR,296 WOODMOUNT AVE,,,ON
***07135,20161231,3,PARK ON PRIVATE PROPERTY,30,0736,AT,1 DE BOERS DR,,,ON
***71867,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0737,E/S,LITTLE NORWAY CRES,S/O,QUEENS QUAY W,ON
***50815,20161231,415,PARK COMMERC LOAD ZONE NOT LDG,40,0738,NR,60 YORK ST,,,ON
***90755,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0738,NR,385 CLINTON ST,,,ON
***07136,20161231,3,PARK ON PRIVATE PROPERTY,30,0738,AT,1060 SHEPPARD AVE W,,,ON
***07137,20161231,3,PARK ON PRIVATE PROPERTY,30,0739,AT,1060 SHEPPARD AVE W,,,ON
***07138,20161231,3,PARK ON PRIVATE PROPERTY,30,0740,AT,1060 SHEPPARD AVE W,,,ON
***78447,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0741,NR,932 MANNING AVE,,,ON
***85752,20161231,8,STAND VEH.-PROHIBIT TIME/DAY,60,0741,NR,500 QUEENS QUAY W,,,ON
***07139,20161231,3,PARK ON PRIVATE PROPERTY,30,0741,AT,1060 SHEPPARD AVE W,,,ON
***98446,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0743,OPP,666 ONTARIO ST,,,ON
***78448,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0743,E/S,CLINTON ST,S/O,DUPONT ST,ON
***37306,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0746,NR,120 ELM RIDGE DR,,,ON
***78449,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0746,NR,615 CLINTON ST,,,QC
***94544,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0748,NR,78 LOWTHER AVE,,,ON
***49798,20161231,3,PARK ON PRIVATE PROPERTY,30,0749,AT,277 FRONT ST W,,,ON
***58098,20161231,312,PARKING MACH-NOT USED/NO FEE  ,30,0750,,400 KEELE ST,,,ON
***90756,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0750,NR,71 VERMONT AVE,,,ON
***71868,20161231,3,PARK ON PRIVATE PROPERTY,30,0751,AT,50 BRUYERES MEWS,,,ON
***78450,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0751,NR,543 CLINTON ST,,,ON
***94545,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0752,NR,505 HURON ST,,,ON
***94546,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0753,NR,505 HURON ST,,,ON
***78451,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0753,NR,559 CLINTON ST,,,ON
***58099,20161231,312,PARKING MACH-NOT USED/NO FEE  ,30,0755,,400 KEELE ST,,,ON
***78452,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0755,NR,533 CLINTON ST,,,ON
***71869,20161231,3,PARK ON PRIVATE PROPERTY,30,0756,AT,50 BRUYERES MEWS,,,ON
